item,sysco_pack,sysco_case_price,sysco_per_lb,sysco_split_price,sysco_split_per_lb,shamrock_pack,shamrock_case_price,shamrock_per_lb,savings_per_lb,savings_percent,preferred_vendor,monthly_savings_estimate
Garlic Powder,3/6LB,213.19,11.84388888888889,,,1/6/LB,54.26,9.043333333333333,2.8005555555555564,23.645574370280038,Shamrock,28.005555555555564
Black Pepper Ground,6/1LB,295.89,49.315,,,25 LB,95.88,3.8352,45.4798,92.22305586535536,Shamrock,454.798
Black Pepper Coarse,6/1LB,298.95,49.824999999999996,,,25 LB,79.71,3.1883999999999997,46.636599999999994,93.60080280983442,Shamrock,466.36599999999993
Black Pepper Cracked,6/1LB,269.99,44.998333333333335,,,25 LB,76.9,3.076,41.922333333333334,93.1641912663432,Shamrock,419.22333333333336
Onion Powder,6/1LB,148.95,24.825,,,25 LB,39.8,1.5919999999999999,23.233,93.58710976837865,Shamrock,232.33
Garlic Granulated,5/1LB,165.99,33.198,,,25 LB,67.47,2.6988,30.499200000000002,91.87059461413338,Shamrock,304.992
