product,sysco_per_lb,shamrock_per_lb,savings_per_lb,savings_percent,preferred_vendor,sysco_split_per_lb,split_vs_shamrock
Black Pepper - Fine/Table Grind,49.315,3.8352,45.4798,92.22305586535536,Shamrock,,
Black Pepper - Restaurant/Medium Grind,48.33166666666667,3.7,44.63166666666667,92.34456360564157,Shamrock,,
Black Pepper - Coarse Grind,49.824999999999996,3.1883999999999997,46.636599999999994,93.60080280983442,Shamrock,,
Black Pepper - Cracked,44.998333333333335,3.076,41.922333333333334,93.1641912663432,Shamrock,,
Garlic Powder - Powder,11.84388888888889,9.043333333333333,2.8005555555555564,23.645574370280038,Shamrock,13.041666666666666,3.998333333333333
Garlic Granulated - Granulated,33.198,2.6988,30.499200000000002,91.87059461413338,Shamrock,,
Onion Powder - Powder,24.825,1.5919999999999999,23.233,93.58710976837865,Shamrock,,
